sand;silt;clay;om;cec;ca;mg;k;na;ph;ce;wsa;kb;ci;ku;se;sw;R;ksat
51;30;19;5.5;7.53;5.6;1.6;0.22;0.11;5.847;75.563;0.9709;10.27197367;0.251504108;2.713855451;0.0401;0.0161;4.847585959;134.28
61;18;21;1.5;6.9;5.1;1.5;0.13;0.13;7.29;127.733;0.2676;16.49029015;1.068892457;17.30326775;0.106823704;0.066461719;3.134228659;63.72
67;16;17;2.4;3.1;2.2;0.51;0.28;0.08;5.887;74.67;0.8818;21.29099786;0.503008215;8.243804815;0.0494;0.0312;3.090613203;374.4
51;28;21;4.7;8.3;6.1;2;0.12;0.09;6.007;92.807;0.8445;12.26740045;0.628760269;2.261453301;0.022538536;0.038642182;1.137361901;2.4588
59;34;7;10.6;8.6;7.6;0.79;0.14;0.11;6.3;126.167;0.9444;15.26136786;3.835437641;22.99349373;0.0718;0.262;0.534384021;195.48
35;45;20;22.2;2.7;1.5;0.83;0.31;0.06;5.463;102.923;0.9545;10.34972244;2.074908888;5.377617313;0.1323;0.1254;2.057296651;38.88
49;37;14;8.8;23.1;21;1.6;0.45;0.09;7.987;139.933;0.4326;10.30355605;2.137784915;0.232518038;0.0935;0.1259;1.44885947;10.188
17;40;43;12.3;6.8;4.8;1.5;0.42;0.06;5.297;60.83;0.9577;1.922704858;0.628760269;3.645369322;0.0406;0.0389;2.035572959;127.8
20;49;31;27.1;19.5;16.8;2.3;0.29;0.1;6.167;247.1;0.9666;2.859500536;0.754512323;7.758880461;0.066;0.0491;2.619094745;24.624
23;39;38;13.8;11.4;7.5;2.5;1;0.32;4.937;539.9;0.9487;4.012178997;1.446148619;14.2509168;0.1347;0.0933;2.815024983;126.72
